cust_id,jan_month_spending,jan_month_freq,feb_month_spending,feb_month_freq,mar_month_spending,mar_month_freq,apr_month_spending,apr_month_freq,may_month_spending,may_month_freq,jun_month_spending,jun_month_freq,jul_month_spending,jul_month_freq,aug_month_spending,aug_month_freq,sep_month_spending,sep_month_freq,oct_month_spending,oct_month_freq,nov_month_spending,nov_month_freq,dec_month_spending,dec_month_freq,Monday_spending,Tuesday_spending,Wednesday_spending,Thursday_spending,Friday_spending,Saturday_spending,Sunday_spending,discount_freq,product_types,discount_rate,total_spending,total_freq
4529875,584.31,18,544.36,16,553.81,20,491.55,18,660.53,27,450.06,29,946.56,24,83.42,3,493.29,23,400.38,29,585.98,31,501.78,24,362.71,259.47,346.13,278.02,587.7,650.92,3811.08,0.23036989,735,0.119251591,6296.03,0.35890411
5839828,469.15,28,447.76,29,642.08,31,511.31,30,541.99,33,404.84,28,545.7,21,494.09,23,533.41,26,541.1,29,458.56,21,389.29,23,597.92,1422.64,1029.14,1245.67,829.15,554.89,299.87,0.33029453,900,0.188896033,5979.28,0.44109589
6169864,319.75,13,240.72,13,724.41,19,573.55,20,386.08,21,387.85,17,446.9,27,309.84,22,326.09,20,282.48,25,451.98,29,685.77,31,551.2,706.52,496.37,738.38,840.92,782.73,1019.3,0.434351775,1089,0.219563569,5135.42,0.352054795
6809659,594.45,33,542.09,27,709.88,30,674.74,26,866.5,33,665.2,34,728.41,36,612.31,27,649.28,27,767.87,42,829.53,41,864,40,874.96,1560.3,1452.95,1281.8,2048.35,592.85,693.05,0.204797048,527,0.092569197,8504.26,0.542465753
6939855,395.64,31,498.26,29,796.87,33,672.86,31,524.26,26,623.2,36,734.4,38,880.52,29,645.76,41,442.53,30,463.1,27,747.12,29,274.44,818.95,2070.24,838.98,1528.91,1719.38,173.62,0.438711082,892,0.23186701,7424.52,0.520547945
7309686,356.18,17,376.96,19,557.52,24,487.4,21,611.44,21,560.98,21,404.08,22,412.45,21,395.93,22,476.26,19,485.79,24,559.86,26,786.14,555.03,871.04,827.19,860.77,1320.06,464.62,0.246278755,884,0.112862199,5684.85,0.352054795
7629630,778.43,30,569.23,24,380.41,14,727.12,11,482.32,11,521.53,14,388.99,14,240.05,13,372.52,14,743.48,23,997.53,36,1067.63,36,1001.34,784.78,1351.22,1059.18,1431.07,1147.44,494.21,0.273423148,887,0.11789311,7269.24,0.328767123
7669833,908.4,46,948.03,44,705.93,40,966.53,40,1006.76,45,977.71,42,917.49,49,815.63,37,911.26,46,808.06,43,924.72,41,988.69,40,1113.37,1340.6,1453.34,1253.64,740.97,4767.66,209.63,0.288475727,1446,0.161360422,10879.21,0.702739726
7739787,350.65,8,376.57,10,603.99,13,567.38,13,677.94,20,571.72,19,713.67,15,617.13,15,770.98,22,779.39,19,686.77,16,1059.22,24,536.43,1221.79,584.74,1077.66,1750.91,604.91,1998.97,0.409611712,1100,0.202083402,7775.41,0.265753425
7989753,572.83,23,364.94,20,524.02,19,818.75,28,726.46,29,536.2,22,660.04,23,651.35,28,469.52,19,476.91,26,435.84,20,732.56,26,563.17,1526.1,667.94,1094.73,768.83,1331.72,1016.93,0.329245026,1244,0.166152797,6969.42,0.387671233
8169802,451.31,35,380.77,30,498.45,32,514.76,27,487.98,30,371.98,28,611.78,38,612.74,37,478.11,28,417.12,35,381.72,31,365.19,28,589.17,767.3,1254.03,769.17,796.93,639.92,755.39,0.540780142,958,0.235532927,5571.91,0.519178082
8449857,648.86,33,326.77,18,663.54,27,699.42,21,757.46,33,477.43,20,124.94,5,238.72,6,201.61,9,549.06,20,841.34,31,447.09,22,877,777.29,887.28,973.44,845.43,1092.07,523.73,0.339938353,967,0.171548778,5976.24,0.335616438
8639635,947.69,28,895.28,23,1181.29,30,1106.83,32,1083.3,28,1048.52,30,952.66,29,735.6,24,978.75,23,1095.18,25,975.24,24,1108,20,987.35,1021.77,964.68,3719.18,2535.96,2268.46,610.94,0.342793129,1482,0.186119793,12108.34,0.432876712
8789770,737.8,60,798.81,50,836.39,60,895.76,58,792.87,58,816.65,58,728.04,58,599.97,53,739.44,58,698.43,58,739.96,60,897.48,58,1066.23,1377.63,1450.35,1363.92,1088.11,1344.44,1590.92,0.195157473,851,0.089675979,9281.6,0.943835616
9439583,432.52,28,351.75,25,591.27,35,920.45,55,721.05,52,887.63,56,800.11,57,654.2,54,720.6,55,706.67,56,703.35,50,959.41,53,992.59,1845.05,1049.51,1041.81,1179.37,873.71,1466.97,0.315462569,1631,0.207340047,8449.01,0.789041096
9559913,585.8,43,401.64,40,656.87,44,562.9,44,509.61,41,492.93,39,576.05,40,568.92,49,565.43,47,641.38,45,636.5,43,724.97,48,631.16,1739.31,1110.38,694.67,1217.56,895.88,634.04,0.283783784,747,0.115269304,6923,0.716438356
9929819,456.26,29,595.81,30,569.68,30,753.4,25,545.06,33,450.85,29,596.75,29,499.03,21,499.96,21,375.91,23,376.16,21,600.78,25,471.42,615.43,530.16,824.34,641.37,2278.69,958.24,0.393442623,541,0.209218372,6319.65,0.432876712
10079850,626.71,36,523.43,36,627.59,38,537.94,27,449.66,22,611.39,27,478.75,28,505.63,28,354.69,28,419.74,31,447.16,33,428.88,28,522.18,1095.48,757.24,727.93,927.16,703.09,1278.49,0.483322845,1184,0.22167024,6011.57,0.495890411
10329832,528.85,30,473.8,29,684.65,35,683.79,40,905.29,44,559.05,33,502.63,33,751.54,36,705.96,34,915.39,40,819.56,39,967.9,30,543.28,1109.07,1389.61,960.34,1470.39,1828.09,1197.63,0.404180418,955,0.257380615,8498.41,0.579452055
10759583,308.47,13,240.94,10,444.68,18,572.36,30,666.67,24,533.35,28,538.55,31,637.39,37,506.75,24,570.69,31,599.73,27,630.83,28,312.88,944.98,497.11,585.48,503.96,1977.56,1428.44,0.49898167,870,0.274787585,6250.41,0.412328767
11379727,386.17,23,547.11,22,748.71,20,1074.26,24,742.66,21,576.51,29,647.43,27,513.03,22,814.14,29,657.45,23,510.22,29,631.66,22,765.87,659.21,1431.54,945.73,1141,1832.91,1073.09,0.512413395,1256,0.272836672,7849.35,0.398630137
11789884,709.93,17,576.71,11,527.9,12,1033.83,18,1099.6,19,471.67,18,938.46,17,617.73,15,655.75,13,798.25,12,573.42,10,886.57,18,157.8,1444.74,234.98,347.44,301.28,916.57,5487.01,0.365003199,1231,0.183272269,8889.82,0.246575342
11799985,367.92,24,313.42,17,453.22,26,481.51,17,417.84,21,311.78,22,506.3,19,474.78,27,734.37,32,633.81,33,562.87,26,815.87,28,955.5,768.1,1118.47,478.68,1189.22,799.12,764.6,0.283306836,1338,0.143722165,6073.69,0.4
13239978,194.65,10,313.09,18,651.06,22,665.5,24,422.23,22,615.05,27,685.07,23,531.87,24,543,25,392.28,24,513.59,22,565.36,21,1097.27,696.31,1015.27,810.82,1026.19,1081.07,365.82,0.231942215,914,0.09970447,6092.75,0.35890411
14179914,295.99,20,457.9,22,503.79,20,324,18,562.5,22,402.53,23,496.5,24,385.47,17,286.34,14,409.54,24,396.03,23,642.97,30,481.48,1232.43,910.59,881.18,692.92,491.53,473.43,0.405238268,919,0.190689947,5163.56,0.352054795
15249979,328.49,26,592.19,38,734.62,45,612.64,34,407.24,13,570.57,46,798.25,52,371.26,20,495.77,27,753.16,49,808.68,49,898.11,47,699.2,1147.67,961.65,865.58,1224.8,1181.59,1290.49,0.343518114,1317,0.181488782,7370.98,0.610958904
15369617,639.89,24,549.56,26,679.03,26,727.71,29,625.91,23,737.69,29,535.82,28,667.64,29,755.93,28,779.64,29,657.19,31,661.69,30,827.17,1429.1,1273.84,1132.28,847.11,1620.71,887.49,0.301886792,1216,0.162786569,8017.7,0.454794521
15959606,216.32,6,516.96,15,514.07,17,955.25,22,937.62,20,821.19,30,1086.63,27,1146.88,30,829.93,20,691.38,20,737.18,25,793.29,25,607.84,1139.16,872.74,1132.3,917.89,2029.17,2547.6,0.228553796,1474,0.119958657,9246.7,0.352054795
16529696,198.43,15,476.02,20,290.39,17,619.25,19,889.89,26,602.9,25,566.68,24,877.57,26,178.81,16,570.53,30,479.67,26,1559.31,31,518.97,1384.36,559.38,1617.57,1174.77,1166.46,887.94,0.34542102,1106,0.17381859,7309.45,0.376712329
16739664,1065.33,33,879.06,28,1037.08,32,1251.32,35,1151.01,36,610.2,21,668.51,19,696.01,24,1176.51,44,1340.93,44,1182.24,38,1293.11,39,518.42,1536.71,1803.84,978.09,1770.78,4199.39,1544.08,0.262480104,1360,0.106714911,12351.31,0.538356164
16829885,847.31,43,692.35,38,841.29,40,768.23,45,951.09,44,636.93,37,770.04,38,658.21,40,779.64,42,718.35,42,824.2,45,1123.98,47,978.22,1667.08,1646.13,1030.85,1652.13,1100.47,1536.74,0.328389461,1504,0.191207271,9611.62,0.68630137
18409710,1039.02,27,1019.58,29,1291.85,29,1079.77,31,987.81,25,1051.36,31,1173.76,31,838.88,26,1023.01,27,879.28,25,775.63,24,699.22,21,1146.9,1290.54,1332.32,1767.97,1957.75,1744.5,2619.19,0.198132978,1334,0.069269702,11859.17,0.446575342
18539540,390.21,13,430.5,13,768.59,14,673.58,15,470.81,11,371.71,13,394.87,11,791.11,16,302.26,11,397.26,9,486.49,14,789.81,20,384.74,1494.17,862.67,604.15,608.91,1410.68,901.88,0.338011227,992,0.136600654,6267.2,0.219178082
18909750,845.8,29,670.64,30,813.04,31,1290.1,28,943.89,27,902.26,32,1164.46,35,1258.97,30,795.63,32,1184.24,39,1054.97,42,1253.43,39,1497.7,1698.45,1500.53,1657.85,910,3645.86,1267.04,0.331649832,1323,0.151542874,12177.43,0.539726027
18919651,729.54,39,601.52,32,849.63,38,887.2,34,680.03,32,750.7,33,823.03,35,400.23,18,743.92,33,789.99,36,791.28,36,572.43,28,1270.21,1022.13,1021.79,1061.98,1046.51,1426.15,1770.73,0.299644602,1108,0.123301298,8619.5,0.539726027
19019605,297.95,14,574.78,18,976.09,37,1106.07,33,656.03,25,540.26,25,1302.68,28,1151.81,31,615.02,32,731.69,30,604.54,26,531.74,23,813.43,1373.13,1380.68,1432.92,1176.2,1774.28,1138.02,0.275043285,1307,0.143384948,9088.66,0.44109589
20129679,567.41,20,711.3,25,714.15,21,829.87,17,892.76,21,779.75,22,419.06,17,627.27,18,752.13,18,876.38,20,677.33,20,736.07,18,490.75,1728.26,725.77,1290.82,633.34,3211.01,503.53,0.563714286,1424,0.291821879,8583.48,0.324657534
20909719,399.79,29,570.22,29,515.31,28,765.77,31,711.36,25,545.39,27,689.95,32,789.89,35,637.87,33,571,32,538.85,31,541.23,31,422.45,1095.54,1020.76,900.75,1381.57,1889.31,566.25,0.522198732,1273,0.263977254,7276.63,0.497260274
21039641,225.78,17,266.79,17,297.66,17,368.64,18,387.37,29,389.78,33,490.96,32,418.85,25,484.53,30,552.11,35,486.41,32,666.64,31,281.78,617.38,626.51,369.09,411.26,2052.38,677.12,0.620549797,777,0.230023976,5035.52,0.432876712
21159716,386.63,29,840.36,39,654.45,41,1055.67,36,641.75,39,621.01,33,745.33,26,718.88,30,640.48,29,788.38,36,668.36,37,859.68,36,851.5,920.95,1239.78,1200.03,1699.67,2134.49,574.56,0.308228731,1481,0.194471827,8620.98,0.563013699
21259755,567.6,22,499.35,20,552.39,21,763.09,25,485.81,22,574.66,23,515.17,23,393.55,24,474.04,16,674.05,24,481.66,17,749.35,25,361.08,872.3,801.96,587.99,463.27,2877.74,766.38,0.295616718,1042,0.151505066,6730.72,0.35890411
21579922,1168.03,28,1038.47,26,1037,30,1130.91,28,790.49,24,742.04,27,741.86,17,832.59,26,855.43,23,897.42,30,961.43,24,824.67,19,959.83,2385.27,1217.06,1354.41,2601.44,1434.29,1068.04,0.400339271,1460,0.216281777,11020.34,0.41369863
21629812,532.84,32,682.76,29,636.47,35,763.3,32,701.77,30,824.95,34,815.28,34,653.75,32,361.98,16,762.85,32,845.24,32,718.14,31,621.51,1883.16,519.27,1930.36,2413.85,822.05,109.13,0.286979628,1118,0.133059024,8299.33,0.505479452
21729931,453.77,23,419.98,23,520.38,23,633.58,29,578.36,29,547.15,32,561.44,30,341.29,22,386.43,21,582.81,25,671.9,24,595.76,27,525.79,1033.55,1096.51,883.23,1429.12,722.81,601.84,0.371882641,957,0.22765889,6292.85,0.421917808
22119651,394.22,19,475.05,17,563.06,22,637.51,21,560.15,22,417.09,19,537.75,19,379.65,15,464.47,17,476.27,17,574.99,20,626.62,23,452.69,342.17,1454.41,555.61,836.73,2276.13,189.09,0.441678035,891,0.180483779,6106.83,0.316438356
22509962,362.14,16,441.78,18,652.11,18,637.18,16,670.58,17,535.62,14,774.28,23,650.97,19,710.34,24,682.07,33,878.12,29,701.49,25,394.22,1395.19,1342.07,1139.14,1386.6,1060.7,978.76,0.26875,1101,0.134647363,7696.68,0.345205479
23149973,284.04,22,358.73,31,466.49,26,442.19,24,407.95,26,442.6,28,401.91,25,516.43,23,389.79,30,563.96,26,407.9,28,713.14,35,345.85,579.2,743.87,608.72,665.46,1436.41,1015.62,0.38803359,976,0.207158182,5395.13,0.443835616
24179544,473.38,17,368.13,14,494.22,16,818.02,23,409.63,18,442.95,12,327.1,14,529.97,16,842.21,31,824.73,33,1020.58,35,1265.27,32,314.25,699.65,481.26,1517.5,1370.49,1973.1,1459.94,0.416725228,819,0.168601868,7816.19,0.357534247
24419577,318.5,20,323.26,16,433.17,23,584.34,20,387.25,15,302.16,15,408.4,9,400.63,11,686.79,32,588.04,24,695.81,23,670.55,33,878.3,263.44,266.81,290.26,1713.13,315.97,2070.99,0.271269177,780,0.093535211,5798.9,0.330136986
25299978,657.39,24,480.04,17,940.82,28,534.22,22,399.9,22,400.27,22,450.41,18,175.47,7,388.42,20,322.47,23,318.42,17,283.5,13,550.21,1381.42,762.29,958.8,1173.53,320.57,204.51,0.418224299,1142,0.223377916,5351.33,0.319178082
25499869,394.72,37,413.52,37,559.58,43,620.09,43,675.01,44,575.79,25,549.97,30,589.69,21,607.21,28,545.25,33,525.71,33,491.43,28,504.69,1032.67,1027.13,746.01,1020.81,1501.69,714.97,0.371075838,852,0.15754973,6547.97,0.550684932
25549822,409.26,25,374.5,22,629.87,32,396.33,22,547.54,21,537.5,23,398.76,30,372.46,23,510.62,33,369.25,24,327.16,23,331.08,26,214.98,881.79,1032.61,995.7,1034.4,738.82,306.03,0.475919606,917,0.248351721,5204.33,0.416438356
25769814,440.21,27,527.2,30,517.92,30,634.56,30,616.97,25,489.36,23,622.33,24,509.19,26,686.72,36,488.89,28,586.1,26,554.25,27,944.83,1159.72,1349.87,748.15,714.05,545.73,1211.35,0.279363594,1018,0.15366588,6673.7,0.454794521
25869803,467.68,13,498.12,22,669.87,22,621.51,23,773.42,26,643.13,31,696.46,24,683.25,26,703.4,27,704.15,33,683.35,31,800.9,29,877.94,569.89,941.87,772.02,1321.36,2662.94,799.22,0.318895871,1372,0.16733669,7945.24,0.420547945
25949975,389.32,34,423.8,34,556.39,36,690.4,38,779.87,41,492.53,26,683.48,38,535.61,32,459.22,28,651.34,45,580.42,40,657.84,37,1147.99,997.57,687.62,997.03,1421.3,1058.35,590.36,0.303998351,1259,0.164136544,6900.22,0.587671233
26249571,287.24,13,374.75,13,544.97,16,849.4,31,561.8,20,280.29,14,336.89,16,333.57,20,730.7,30,601.96,30,694.62,33,494.85,28,823.61,1159.93,496.58,977.15,942.54,1020.41,670.82,0.232846715,814,0.09666684,6091.04,0.361643836
26439761,630.94,36,461.61,30,780.18,36,752.55,35,850.24,39,626.61,36,920.47,37,813,34,750.13,33,814.34,43,752.79,35,630.29,34,1508.24,2011.37,1332.85,1223.79,1247.56,754.3,705.04,0.433377433,1473,0.210506209,8783.15,0.58630137
26499927,771.37,29,659.73,35,760.84,34,802.68,29,831.55,32,543.01,26,1210.82,38,501.3,9,956.86,35,957.64,35,576.61,32,422.83,24,1184.94,1174.59,1418.53,1344.47,995.01,1398.1,1479.6,0.373611846,1078,0.209621015,8995.24,0.490410959
26539889,594.1,36,714.08,45,807.86,49,917.84,44,703.96,42,668.47,38,783.32,40,590.28,43,611.29,47,631.94,46,1038.41,49,720.82,45,1251.46,1834.22,1369.37,1160.59,1242.62,1413.97,510.14,0.290227273,901,0.141060787,8782.37,0.717808219
26769899,569.98,33,554.75,33,671.8,38,985.68,43,762.2,41,754.49,40,891.57,40,711.38,42,802.69,46,703.66,39,772.88,42,957.09,44,539.22,460.09,691.52,787.36,470.58,5552.91,636.49,0.241349102,963,0.108812914,9138.17,0.65890411
26869605,296.02,13,328.84,19,282.49,10,491.1,27,726.14,27,512.35,29,535.45,32,246.29,10,257.88,14,548.57,32,490.42,29,394.19,24,565.86,912.51,759.97,714.94,797.65,698.13,660.68,0.299774606,1081,0.164164212,5109.74,0.364383562
26889766,462.14,32,298.8,20,185.72,21,449.89,16,457.04,27,383.21,30,247.06,25,565.2,42,753.76,58,750.98,52,456.77,57,860.39,49,573.84,1061.31,912.58,744.57,917.27,1115.9,545.49,0.283077797,893,0.112943022,5870.96,0.587671233
27419620,482.94,35,271.96,30,535.34,32,494.44,36,234.03,26,419.74,39,682.89,31,366.71,39,581.67,31,406.49,26,385.46,29,1299.71,37,427.48,549.66,929.38,454.58,1090.65,1597.4,1112.23,0.432665881,1044,0.200353531,6161.38,0.535616438
27669806,478.48,22,582.62,21,499.77,18,584.42,21,525.39,19,399.2,13,348.27,13,303.6,11,393.41,16,319.81,15,356.73,16,543.2,17,377.55,1386.48,1201.47,609.51,423.45,1060.36,276.08,0.383866918,1057,0.184571529,5334.9,0.276712329
27789582,280.74,18,220.75,15,422.59,26,498.82,35,474.7,32,427.28,28,470.32,29,408.59,25,448.13,38,589.91,45,576.41,36,435.96,29,651.25,915.78,684.15,707.68,746.77,837.6,710.97,0.367073534,922,0.215220616,5254.2,0.487671233
27999642,862.9,32,712.43,36,938.38,34,1332.27,37,1093.77,35,1260.3,43,1012.96,39,894.25,28,925.73,33,1066.54,39,887.3,38,873.39,26,1840.79,1621.12,1429.19,1559.6,1068.15,590.24,3751.13,0.295651068,1910,0.165847651,11860.22,0.575342466
28589957,657.74,28,616.66,26,658.25,30,690.84,27,701.66,27,645.91,28,667.36,28,848.86,30,529.66,23,834.42,31,730.03,28,690.17,30,758.62,1469.98,1827.09,1320.75,1470.96,727.11,697.05,0.302111717,1062,0.171621313,8271.56,0.460273973
28659946,817.99,21,808.15,20,1139.48,23,1262.41,22,819.82,18,896.59,22,1348.78,19,878.93,18,787.77,16,1023.16,20,866.84,22,1721.15,25,1436.44,2117.69,1563.34,1941.6,1740.99,1799.95,1771.06,0.284377387,1572,0.162761471,12371.07,0.336986301
28719593,453.51,44,354.11,42,551.08,44,513.31,45,536.41,47,523.21,45,404.93,35,322.83,30,499.51,40,558.47,43,635.65,47,812.28,48,784.8,979.94,768.98,882.5,819.24,877.6,1052.24,0.299046322,935,0.183184353,6165.3,0.698630137
28969992,463.76,25,439.04,20,630.23,30,512.44,24,551.23,29,552.52,24,458.4,27,416.24,22,321.08,20,440.01,20,429.02,19,471.05,21,435.22,1591.07,483.16,769.51,1370.45,658.01,377.6,0.390482619,964,0.197828713,5685.02,0.384931507
29419972,244.85,29,482.15,39,335.12,26,356.29,40,449.04,40,458.06,46,420.74,49,417.27,41,553.23,47,420.98,52,444.4,48,592.12,46,584.71,864.8,649.22,754,934.75,956.4,430.37,0.288667315,858,0.166902812,5174.25,0.689041096
29639764,628.89,34,503.54,30,602.62,33,805,31,729.4,37,660.33,33,713.62,32,520.25,25,588.37,32,711.11,32,575.54,33,596.42,27,899.19,1574.94,1154.96,783.19,1346.09,1260.73,615.99,0.30080393,897,0.154404851,7635.09,0.519178082
30039913,671.26,25,455.89,20,629.83,25,533.8,23,522.99,19,566.96,22,506.85,22,705.76,26,667.82,25,595.96,21,632.85,23,675.51,20,762.12,532.31,337.21,485.21,4153.27,225.37,669.99,0.286205204,892,0.12344794,7165.48,0.371232877
30329827,624.69,30,607.75,26,740.97,29,657.29,25,630.62,24,558.52,24,619.61,29,615.13,25,682.88,26,530.4,33,536.97,24,854.94,30,357.48,588.26,394.57,629.85,1468.47,3691.67,529.47,0.354956601,1014,0.157618121,7659.77,0.445205479
30509580,292.28,21,268.17,18,473.2,20,347.99,17,548.73,25,643.33,37,489.38,34,561.22,27,560.19,37,651.48,37,695.57,38,829.53,45,763.14,817.65,595.62,1032.27,980.36,1530.88,641.15,0.317854052,907,0.156513379,6361.07,0.487671233
30619950,602.94,23,560.85,19,695.89,19,492.88,25,637.85,26,513.4,31,485.99,25,788.42,37,518.14,21,516.86,25,676.97,25,800.41,26,864.84,1259.01,1269.04,1258.64,1439.16,968.74,231.17,0.400306748,1446,0.201636456,7290.6,0.41369863
31089912,1049.33,19,669.56,20,1095.45,23,664.6,13,870.41,18,460.51,11,684.29,17,934.26,15,677.27,16,509.19,14,529.06,18,727.88,18,485.14,1514.03,2051.7,2198.91,1465.51,595.68,560.84,0.479764533,1102,0.248409019,8871.81,0.276712329
31099800,897.48,32,699.76,29,596.3,33,662.9,33,663.99,36,492.69,23,590.93,27,276.12,9,424.28,16,609.62,24,982.91,28,1145.25,37,1250.04,915.43,1272.12,1281.78,1387.99,862.46,1072.41,0.207482993,1173,0.080563307,8042.23,0.447945205
31659691,543.28,36,576.11,31,639.21,38,723.07,35,685.44,35,549.49,33,604.93,34,547.37,31,540.44,33,546.21,32,609.01,34,837.13,37,364.54,1182.01,500.38,1505.24,1467.91,2045.72,335.89,0.510788293,1343,0.217696939,7401.69,0.560273973
31879773,943.06,32,1230.65,36,1470.35,39,1844.08,36,957.18,30,824.98,26,1441.01,30,860.29,22,726.67,21,691.97,22,693.39,21,1048.5,32,885.95,1176.63,1205.75,1236.1,3019.86,3304.34,1903.5,0.34588154,1644,0.174213169,12732.13,0.475342466
32979648,490.54,25,326.01,21,643.84,26,535.51,25,631.04,33,623.91,25,558.43,24,301.82,13,586.1,24,346.21,16,404.66,16,540.71,25,849.63,697.91,956.87,792.91,1054.42,682.93,954.11,0.478594951,1138,0.24369385,5988.78,0.373972603
33099816,691.66,34,576.92,37,795.52,35,863.02,40,475.46,26,618.31,35,623.97,27,548.68,34,583,36,499.18,33,678.16,31,1057.9,37,316.76,1575.26,496.66,1374.63,2089.44,856.08,1302.95,0.430217248,981,0.197455266,8011.78,0.554794521
33459796,630.43,24,606.18,28,602.34,26,564.96,20,758.6,33,869.68,30,623.66,23,357.67,12,593.93,20,879.41,32,677.03,24,800.67,25,1332.04,1478.38,1412.66,1217.88,1519.03,313.87,690.7,0.24460261,1201,0.123491612,7964.56,0.406849315
33869812,359.2,19,561.02,26,591.88,24,455.06,13,674.86,17,311.49,8,309.43,10,408.66,12,232.03,9,259.72,10,246,8,401.61,18,306.82,865.01,866.11,1069.92,304.26,989.43,409.41,0.308468627,805,0.185261079,4810.96,0.238356164
34979616,210.87,11,351.18,20,582.29,22,460.95,24,530.71,20,472.35,19,408.38,19,526.3,20,342.74,21,365.66,21,463.5,19,885.73,21,1185.55,356.54,452.65,976.28,962.84,665.82,1000.98,0.360065466,740,0.178411793,5600.66,0.324657534
